,A.1_RfR,A.2_RfR,A.3_RfR,A.4_RfR,A.5_RfR,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,Desired,policy
0,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,0
1,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,1
2,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,2
3,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,3
4,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,4
5,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,5
6,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,6
7,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,7
8,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,8
9,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,9
10,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,10
11,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,11
12,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,12
13,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,13
14,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,14
15,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,15
16,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,16
17,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,17
18,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,18
19,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,19
20,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,20
21,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,21
22,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,22
23,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,23
24,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,24
25,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,25
26,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,26
27,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,27
28,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,28
29,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,29
30,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,30
31,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,31
32,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,32
33,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,33
34,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,34
35,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,35
36,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,36
37,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,37
38,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,38
39,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,39
40,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,40
41,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,41
42,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,42
43,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,43
44,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,44
45,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,45
46,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,46
47,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,47
48,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,48
49,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,49
50,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,50
51,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,51
52,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,52
53,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,53
54,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,54
55,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,55
56,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,56
57,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,57
58,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,58
59,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,59
60,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,60
61,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,61
62,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,62
63,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,63
64,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,64
65,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,65
66,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,66
67,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,67
68,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,68
69,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,69
70,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,70
71,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,71
72,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,72
73,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,73
