,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,A.1_Expected Annual Damage 0,A.1_Dike Investment Costs 0,A.1_Expected Number of Deaths 0,A.2_Expected Annual Damage 0,A.2_Dike Investment Costs 0,A.2_Expected Number of Deaths 0,A.3_Expected Annual Damage 0,A.3_Dike Investment Costs 0,A.3_Expected Number of Deaths 0,A.4_Expected Annual Damage 0,A.4_Dike Investment Costs 0,A.4_Expected Number of Deaths 0,A.5_Expected Annual Damage 0,A.5_Dike Investment Costs 0,A.5_Expected Number of Deaths 0,RfR Total Costs 0,Expected Evacuation Costs 0,A.1_Expected Annual Damage 1,A.1_Dike Investment Costs 1,A.1_Expected Number of Deaths 1,A.2_Expected Annual Damage 1,A.2_Dike Investment Costs 1,A.2_Expected Number of Deaths 1,A.3_Expected Annual Damage 1,A.3_Dike Investment Costs 1,A.3_Expected Number of Deaths 1,A.4_Expected Annual Damage 1,A.4_Dike Investment Costs 1,A.4_Expected Number of Deaths 1,A.5_Expected Annual Damage 1,A.5_Dike Investment Costs 1,A.5_Expected Number of Deaths 1,RfR Total Costs 1,Expected Evacuation Costs 1,A.1_Expected Annual Damage 2,A.1_Dike Investment Costs 2,A.1_Expected Number of Deaths 2,A.2_Expected Annual Damage 2,A.2_Dike Investment Costs 2,A.2_Expected Number of Deaths 2,A.3_Expected Annual Damage 2,A.3_Dike Investment Costs 2,A.3_Expected Number of Deaths 2,A.4_Expected Annual Damage 2,A.4_Dike Investment Costs 2,A.4_Expected Number of Deaths 2,A.5_Expected Annual Damage 2,A.5_Dike Investment Costs 2,A.5_Expected Number of Deaths 2,RfR Total Costs 2,Expected Evacuation Costs 2
0,65.0,256.74520676099746,10.0,0.5223063394168281,126.11201732191672,1.5,0.5966677571112899,323.475798824392,1.0,0.6128972162718245,128.57870297672343,1.0,0.459229308324754,105.8220057872907,1.0,0.4306178862408432,3.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,base case no policy,51464335.06153794,-1569439696,,,-1569436912,,,4,,,4,,,0,,,,,3,,,0,,,0,,,0,,,0,,,,,0,,,0,,,0,,,0,,,0,,,
1,7.0,77.11451447870208,10.0,0.1442050276661747,139.13012169015934,1.5,0.0830616883273036,127.66570141847151,1.5,0.5032582108910836,153.5544848516241,1.5,0.8133903331792407,339.6010151279081,10.0,0.5397251357802979,3.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,base case no policy,824692025.2567997,0,0.6592301854627572,106591223.21009716,487,,,4,,,4,,,0,,,,,3,,,0,,,0,,,0,,,0,,,,,0,,,0,,,0,,,0,,,0,,,
2,11.0,115.2016104915668,1.5,0.1223072150645114,166.20602102701963,1.0,0.6795021497260407,328.8879780445459,10.0,0.99618501466751,321.77356671742496,1.5,0.4866362694536711,143.03149593771496,1.5,0.5457405751431724,2.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,base case no policy,1025521212.3890642,0,0.6514996183568557,0.0,0,0.0,0.0,4,,,4,,,0,,,,,3,,,-223852240,,,0,,,0,,,0,,,,,0,,,0,,,0,,,0,,,0,,,
3,76.0,84.74086176018633,10.0,0.2218415850209324,106.77778644106512,10.0,0.4479185489910456,181.50565397675305,1.5,0.2177908677221771,36.67151245688476,1.0,0.8852817266620583,109.69704427143894,1.5,0.4767683589433906,2.5,4.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,base case no policy,1029601284.2480478,0,0.654764075362204,10799109.151287746,0,0.0096513647923032,200801980.13216424,0,0.3300583066843003,0.0,4,,,0,,,,,3,,,32763,,,0,,,0,,,0,,,,,0,,,0,,,0,,,0,,,0,,,
4,130.0,172.06495541096768,1.0,0.6758601448362798,34.758932442785635,1.5,0.0435557355797668,308.61166473869554,10.0,0.6299094914182741,37.2763927939948,10.0,0.9517928723736412,43.081591698866006,10.0,0.7151882881953221,3.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,base case no policy,4534009.947081403,0,0.0039960774427784,278391941.4888239,0,0.2859485574098585,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,3,,,0,,,0,,,0,,,0,,,,,0,,,0,,,0,,,0,,,0,,,
5,30.0,189.51866856676605,10.0,0.8969004238126327,136.56174488961355,10.0,0.9171366317027284,202.0028295934945,1.5,0.0784893093408538,298.9701821721138,10.0,0.159214143730348,174.5038839594213,1.0,0.3912092465526036,2.5,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,base case no policy,0.0,0,0.0,4347351.873629732,0,0.0041815388086343,737786288.3202845,0,1.1996212448169594,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,,,1633971809,,,0,,,0,,,0,,,,,0,,,0,,,0,,,0,,,0,,,
6,110.0,81.15532729379092,1.0,0.1900358010367529,116.55209032293178,1.5,0.7745449665496629,212.47721376174584,1.0,0.0388838185054572,171.93267114918288,1.5,0.0365757697154436,336.8534733596392,10.0,0.0925921724372214,1.5,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,base case no policy,1340993845.2898436,0,0.6582339416569509,0.0,0,0.0,921360661.8299884,0,1.1312306687779712,241769.77596646216,0,5.034181239818112e-05,0.0,0,0.0,0.0,0.0,1033923303.945159,0,0.6582339416569509,0.0,0,,,0,,,0,,,0,,,,,0,,,0,,,0,,,0,,,0,,,
7,25.0,156.64768096490815,1.0,0.8243335561806812,227.15742372817937,10.0,0.9803715747337076,54.48667025231238,1.5,0.0090327476656867,177.7454474241833,1.0,0.9493714232529672,283.67793889142035,1.0,0.1960520931216101,3.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,base case no policy,0.0,0,0.0,1281738.2250286168,0,0.0015686156933956,588119633.1583405,0,1.2007530333776093,0.0,0,0.0,30558839.546173457,0,0.0330675053803659,0.0,0.0,0.0,0,0.0,1608885.1119869845,0,0.0015686156933956,738229463.223331,0,,,0,,,0,,,,,0,,,0,,,0,,,0,,,0,,,
8,8.0,225.84588121900904,10.0,0.8054833965767494,101.93613927431784,1.5,0.4796934540072228,75.26195615470016,1.5,0.040676777752405,286.79067898286814,1.5,0.0946371755265655,54.11213980060036,1.0,0.3659450342018508,1.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,base case no policy,0.0,0,0.0,33977179.98262549,0,0.0240911117647587,958380709.3555044,0,1.2018374285455724,10531728.604443198,0,0.0032741004819691,0.0,0,0.0,0.0,0.0,0.0,0,0.0,17110505.256306354,0,0.0240911117647587,482629169.7355523,0,1.2018374285455724,5303653.738670061,0,,,0,,,,,0,,,0,,,0,,,0,,,0,,,
9,108.0,159.03361955111404,1.5,0.0638688385121484,47.8424736089549,1.5,0.5485841383803923,198.0839142750171,1.0,0.3320264342094194,189.36918732038168,1.5,0.2807908241221389,294.881384153896,1.5,0.908710878301029,2.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,base case no policy,1020008788.1607692,0,0.6470918155921719,0.0,0,0.0,19945230.3420027,0,0.0334349828249837,1725662.2279320094,0,0.0007465167693413,0.0,0,0.0,0.0,0.0,1322946781.2998393,0,0.6470918155921719,0.0,0,0.0,25868873.473938584,0,0.0334349828249837,2238176.0986293894,0,0.0007465167693413,0.0,0,,,,,0,,,0,,,0,,,0,,,0,,,
