,A.1_Expected Annual Damage 0,A.1_Dike Investment Costs 0,A.1_Expected Number of Deaths 0,A.2_Expected Annual Damage 0,A.2_Dike Investment Costs 0,A.2_Expected Number of Deaths 0,A.3_Expected Annual Damage 0,A.3_Dike Investment Costs 0,A.3_Expected Number of Deaths 0,A.4_Expected Annual Damage 0,A.4_Dike Investment Costs 0,A.4_Expected Number of Deaths 0,A.5_Expected Annual Damage 0,A.5_Dike Investment Costs 0,A.5_Expected Number of Deaths 0,RfR Total Costs 0,Expected Evacuation Costs 0,A.1_Expected Annual Damage 1,A.1_Dike Investment Costs 1,A.1_Expected Number of Deaths 1,A.2_Expected Annual Damage 1,A.2_Dike Investment Costs 1,A.2_Expected Number of Deaths 1,A.3_Expected Annual Damage 1,A.3_Dike Investment Costs 1,A.3_Expected Number of Deaths 1,A.4_Expected Annual Damage 1,A.4_Dike Investment Costs 1,A.4_Expected Number of Deaths 1,A.5_Expected Annual Damage 1,A.5_Dike Investment Costs 1,A.5_Expected Number of Deaths 1,RfR Total Costs 1,Expected Evacuation Costs 1,A.1_Expected Annual Damage 2,A.1_Dike Investment Costs 2,A.1_Expected Number of Deaths 2,A.2_Expected Annual Damage 2,A.2_Dike Investment Costs 2,A.2_Expected Number of Deaths 2,A.3_Expected Annual Damage 2,A.3_Dike Investment Costs 2,A.3_Expected Number of Deaths 2,A.4_Expected Annual Damage 2,A.4_Dike Investment Costs 2,A.4_Expected Number of Deaths 2,A.5_Expected Annual Damage 2,A.5_Dike Investment Costs 2,A.5_Expected Number of Deaths 2,RfR Total Costs 2,Expected Evacuation Costs 2,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,4036285.281941723,0,0.0043639302234221,45544150.83009761,0,0.0621441462250424,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,6179707.089447362,0,0.0043639302234221,69729836.24988422,0,0.0621441462250424,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4923140.090620157,0,0.0043639302234221,55551136.54826694,0,0.0621441462250424,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,19,93.0237901000644,1.5,0.7488831483802526,263.40458476171483,10.0,0.2730623908818131,176.7675311035644,10.0,0.5783081606676511,133.0057632289794,1.0,0.7926714349725881,213.41293203246488,10.0,0.949321508037958,4.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,base case no policy,dikesnet
1,762028745.7164738,0,0.6115318998773316,149292257.52998614,0,0.1510797096202621,302383970.74180675,0,0.593600413624735,491141.6134521807,0,0.0002257353064614,0.0,0,0.0,0.0,0.0,624756832.8620257,0,0.6115318998773316,122398739.56140669,0,0.1510797096202621,247912500.5858825,0,0.593600413624735,402667.3280134978,0,0.0002257353064614,0.0,0,0.0,0.0,0.0,762028745.7164738,0,0.6115318998773316,149292257.52998614,0,0.1510797096202621,302383970.74180675,0,0.593600413624735,491141.6134521807,0,0.0002257353064614,0.0,0,0.0,0.0,0.0,123,101.42201265301262,1.5,0.1380242450151164,210.8565738865007,1.0,0.0593825197743489,152.32547025936802,1.0,0.1174306648736278,285.8726854801348,1.0,0.0779370209612206,292.2439859796346,10.0,0.4011230319538947,3.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,base case no policy,dikesnet
2,908572881.7750392,0,0.5810768902522492,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,24339049.573213823,0,0.019155979415306,0.0,0.0,908572881.7750392,0,0.5810768902522492,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,24339049.573213823,0,0.019155979415306,0.0,0.0,908572881.7750392,0,0.5810768902522492,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,24339049.573213823,0,0.019155979415306,0.0,0.0,7,304.1437066697382,10.0,0.3371100006630632,275.749497063901,1.5,0.9309645340768145,205.92325673703243,1.0,0.4660037956404517,71.45690573026465,1.0,0.2945622722984773,42.16335633286275,1.0,0.0275390001966465,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,base case no policy,dikesnet
3,92861493.69777869,0,0.0489928032518308,70732806.41074054,0,0.0486936152023924,4188629.824804137,0,0.0056708220692574,1175439.4265343645,0,0.0004115919752054,3215893.6527224844,0,0.0021406231293577,0.0,0.0,71597392.27031118,0,0.0489928032518308,54535893.03066437,0,0.0486936152023924,3229486.84863552,0,0.0056708220692574,906278.742246676,0,0.0004115919752054,2479494.892715507,0,0.0021406231293577,0.0,0.0,92861493.69777869,0,0.0489928032518308,70732806.41074054,0,0.0486936152023924,4188629.824804137,0,0.0056708220692574,1175439.4265343645,0,0.0004115919752054,3215893.6527224844,0,0.0021406231293577,0.0,0.0,43,336.2836646733989,1.5,0.5441843692024108,328.63694240182474,1.5,0.346368246732579,199.23547616829188,10.0,0.653443922161556,49.67114246225376,1.5,0.4796462519858139,67.69487313402703,1.0,0.3247069194874314,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,base case no policy,dikesnet
4,0.0,0,0.0,70910852.00022209,0,0.0789468203367352,0.0,0,0.0,32944568.75942082,0,0.0173156856322192,0.0,0,0.0,0.0,0.0,0.0,0,0.0,89009917.80823469,0,0.0789468203367352,0.0,0,0.0,41353238.25321684,0,0.0173156856322192,0.0,0,0.0,0.0,0.0,0.0,0,0.0,58136966.03997923,0,0.0789468203367352,0.0,0,0.0,27009931.78254592,0,0.0173156856322192,0.0,0,0.0,0.0,0.0,45,312.28996214098294,1.0,0.9786165018357378,211.5330474622179,1.0,0.2527316421865292,121.74347265209305,1.0,0.7486945592094532,118.75176634574396,10.0,0.1288811758509145,285.6080615391261,1.5,0.3376199720359442,3.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,base case no policy,dikesnet
5,25812932.26840676,0,0.0139181069921014,38509436.97354115,0,0.0271739344217537,5420376.342823426,0,0.0073361842865563,2860459.8539033206,0,0.0010152762183093,0.0,0,0.0,0.0,0.0,25812932.26840676,0,0.0139181069921014,38509436.97354115,0,0.0271739344217537,5420376.342823426,0,0.0073361842865563,2860459.8539033206,0,0.0010152762183093,0.0,0,0.0,0.0,0.0,15855253.30985688,0,0.0139181069921014,23653913.925260123,0,0.0271739344217537,3329394.7024921086,0,0.0073361842865563,1756999.7509280515,0,0.0010152762183093,0.0,0,0.0,0.0,0.0,19,49.06022730803591,10.0,0.645202241596228,333.42014244756905,10.0,0.4662999767531359,276.72554381516323,10.0,0.8098895756431185,86.54569611655462,10.0,0.5012322569627505,339.1934704155969,1.0,0.6434783468361113,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,base case no policy,dikesnet
6,1218501629.017458,0,0.5978930356002128,0.0,0,0.0,3674266.8712222422,0,0.0047432199493685,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1218501629.017458,0,0.5978930356002128,0.0,0,0.0,3674266.8712222422,0,0.0047432199493685,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1218501629.017458,0,0.5978930356002128,0.0,0,0.0,3674266.8712222422,0,0.0047432199493685,0.0,0,0.0,0.0,0,0.0,0.0,0.0,107,198.09132751240512,1.0,0.1933096019849735,105.3702826677436,1.5,0.7317609322194498,130.98068484852195,1.0,0.3633293550018354,110.3016735276082,10.0,0.6576656951170621,31.14960197740892,1.5,0.2896635379927511,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,base case no policy,dikesnet
7,96901079.78866744,0,0.082208021878991,4359133.514774663,0,0.0050913936835833,90738641.87353064,0,0.1954531459556823,16756002.907230046,0,0.0093353376830023,11751345.902276402,0,0.0127882381076944,0.0,0.0,79445312.33235544,0,0.082208021878991,3573878.8910813835,0,0.0050913936835833,74392976.424804,0,0.1954531459556823,13737575.342916137,0,0.0093353376830023,9634457.60942983,0,0.0127882381076944,0.0,0.0,121633810.68234047,0,0.082208021878991,5471745.2254557405,0,0.0050913936835833,113898491.23754016,0,0.1954531459556823,21032753.090632964,0,0.0093353376830023,14750722.96260778,0,0.0127882381076944,0.0,0.0,23,61.08480214289178,1.0,0.4854548631242582,204.93358358879,1.5,0.7060454668467647,68.52118102160748,10.0,0.4251069879265519,231.6559377086931,1.5,0.3056436364938341,120.4346270503276,1.5,0.380318432570023,3.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,base case no policy,dikesnet
8,275719343.4723492,0,0.2276830072458081,346169.0216205098,0,0.0003831400060345,0.0,0,0.0,21509692.05797235,0,0.0114092009255386,0.0,0,0.0,0.0,0.0,226051241.18332595,0,0.2276830072458081,283810.1092619981,0,0.0003831400060345,0.0,0,0.0,17634934.58943114,0,0.0114092009255386,0.0,0,0.0,0.0,0.0,448881175.1570543,0,0.2276830072458081,563575.8277640229,0,0.0003831400060345,0.0,0,0.0,35018565.35218856,0,0.0114092009255386,0.0,0,0.0,0.0,0.0,89,204.60791140794265,10.0,0.4127536072472411,121.27457150426194,10.0,0.4145244467341013,158.10664729940612,1.0,0.6665883176908199,219.7839234892456,1.5,0.190144180971794,207.69366660444615,10.0,0.7150522310733958,3.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,base case no policy,dikesnet
9,0.0,0,0.0,423470022.44900686,0,0.2707742733508504,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,326500771.25266266,0,0.2707742733508504,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,260110877.96009627,0,0.2707742733508504,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,64,67.05204760440074,1.0,0.9014370156254052,287.8669633534714,10.0,0.0205878629104723,94.50166843516632,1.0,0.5658847271128647,267.019217839984,1.5,0.9657440116450484,236.064579211223,1.5,0.189259471217965,1.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,base case no policy,dikesnet
